	EF1	EF2	EH1	EH2
Cluster-723.0	0	3	8	3
Cluster-724.0	0	2	3	6
Cluster-725.0	0	4	8	2
Cluster-726.0	0	5	5	1
Cluster-727.0	0	1	9	4
Cluster-728.0	0	2	8	4
Cluster-729.0	0	3	6	3
Cluster-730.0	0	7	8	5
Cluster-731.0	0	3	9	6
Cluster-732.0	10	9	18	15
Cluster-733.0	0	5	6	4
Cluster-734.0	0	3	21	15
Cluster-735.0	0	3	3	5
Cluster-736.0	0	5	11	8
Cluster-737.0	0	5	4	3
Cluster-738.0	0	2	10	3
Cluster-739.0	0	1	7	6
Cluster-740.0	0	3	6	3
Cluster-741.0	0	3	6	5
Cluster-742.0	0	3	1	8
Cluster-743.0	0	3	10	1
Cluster-744.0	0	5	4	5
Cluster-745.0	0	3	6	2
Cluster-746.0	3	7	9	8
Cluster-747.0	0	1	7	3
Cluster-748.0	0	4	2	6
Cluster-749.0	0	3	9	9
Cluster-750.0	0	5	16	8
Cluster-750.1	0	1	11	1
Cluster-751.0	0	2	3	7
Cluster-752.0	0	5	4	2
Cluster-753.0	1	3	5	7
Cluster-754.0	0	1	9	3
Cluster-755.0	0	2	14	9
Cluster-756.0	9	14	23	27
Cluster-757.0	0	2	7	2
Cluster-758.0	0	2	7	4
Cluster-759.0	0	1	7	4
Cluster-760.0	0	3	5	8
Cluster-761.0	0	5	2	4
Cluster-762.0	0	1	4	6
Cluster-763.0	0	2	6	4
Cluster-764.0	0	3	3	5
Cluster-765.0	0	3	5	3
Cluster-766.0	0	5	2	5
Cluster-767.0	0	6	5	1
Cluster-768.0	0	1	2	8
Cluster-769.0	0	1	10	7
Cluster-770.0	0	4	3	4
Cluster-771.0	0	3	5	4
Cluster-772.0	0	2	5	5
Cluster-773.0	0	3	5	9
Cluster-774.0	0	7	4	3
Cluster-775.0	0	1	8	3
Cluster-775.1	4	6	5	10
Cluster-776.0	0	3	2	7
Cluster-777.0	0	3	5	3
Cluster-778.0	0	3	5	4
Cluster-779.0	0	2	6	5
Cluster-780.0	6	11	21	21
Cluster-781.0	0	3	7	4
Cluster-782.0	0	1	11	7
Cluster-783.0	0	3	3	5
Cluster-784.0	0	3	5	8
Cluster-785.0	0	1	6	4
Cluster-786.0	297	276	411	343
Cluster-787.0	0	1	3	11
Cluster-788.0	0	2	4	7
Cluster-789.0	0	2	4	8
